Patch,Name,Class,Role,Tier,Score,Trend,KDA,Type,Rate
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Win %,49.97%
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Role %,94.62%
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Pick %,4.43%
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Ban %,2.03%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Win %,49.93%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Role %,93.47%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Pick %,4.62%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Ban %,1.04%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Win %,48.59%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Role %,65.65%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Pick %,8.16%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Ban %,12.88%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Win %,48.57%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Role %,34.06%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Pick %,4.24%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Ban %,12.88%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Win %,51.46%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Role %,58.01%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Pick %,4.83%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Ban %,21.91%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Win %,51.58%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Role %,33.45%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Pick %,2.71%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Ban %,21.91%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Win %,49.92%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Role %,98.55%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Pick %,3.65%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Ban %,0.84%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Win %,50.27%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Role %,83.11%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Pick %,3.13%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Ban %,1.51%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Win %,50.09%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Role %,14.95%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Pick %,0.44%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Ban %,1.64%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Win %,51.97%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Role %,82.16%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Pick %,3.32%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Ban %,3.03%
12-1,Anivia,Mage,SUPPORT,D,31.74,-1.46,2.18,Win %,47.66%
12-1,Anivia,Mage,SUPPORT,D,31.74,-1.46,2.18,Role %,12.51%
12-1,Anivia,Mage,SUPPORT,D,31.74,-1.46,2.18,Pick %,0.44%
12-1,Anivia,Mage,SUPPORT,D,31.74,-1.46,2.18,Ban %,3.03%
12-1,Annie,Mage,MID,A,48.81,6.23,2.39,Win %,52.45%
12-1,Annie,Mage,MID,A,48.81,6.23,2.39,Role %,85.00%
12-1,Annie,Mage,MID,A,48.81,6.23,2.39,Pick %,2.17%
12-1,Annie,Mage,MID,A,48.81,6.23,2.39,Ban %,0.71%
12-1,Aphelios,Marksman,ADC,C,35.96,-1.67,2.03,Win %,47.36%
12-1,Aphelios,Marksman,ADC,C,35.96,-1.67,2.03,Role %,98.34%
12-1,Aphelios,Marksman,ADC,C,35.96,-1.67,2.03,Pick %,5.79%
12-1,Aphelios,Marksman,ADC,C,35.96,-1.67,2.03,Ban %,1.46%
12-1,Ashe,Marksman,ADC,B,43.08,-9.95,2.32,Win %,49.66%
12-1,Ashe,Marksman,ADC,B,43.08,-9.95,2.32,Role %,93.40%
12-1,Ashe,Marksman,ADC,B,43.08,-9.95,2.32,Pick %,6.03%
12-1,Ashe,Marksman,ADC,B,43.08,-9.95,2.32,Ban %,1.11%
12-1,Aurelion Sol,Mage,MID,B,42.15,-2.74,2.55,Win %,50.81%
12-1,Aurelion Sol,Mage,MID,B,42.15,-2.74,2.55,Role %,91.23%
12-1,Aurelion Sol,Mage,MID,B,42.15,-2.74,2.55,Pick %,0.89%
12-1,Aurelion Sol,Mage,MID,B,42.15,-2.74,2.55,Ban %,0.25%
12-1,Azir,Mage,MID,D,32.69,2.09,2.1,Win %,46.67%
12-1,Azir,Mage,MID,D,32.69,2.09,2.1,Role %,90.68%
12-1,Azir,Mage,MID,D,32.69,2.09,2.1,Pick %,1.12%
12-1,Azir,Mage,MID,D,32.69,2.09,2.1,Ban %,0.21%
12-1,Bard,Support,SUPPORT,A,49.81,2.27,2.97,Win %,50.23%
12-1,Bard,Support,SUPPORT,A,49.81,2.27,2.97,Role %,98.67%
12-1,Bard,Support,SUPPORT,A,49.81,2.27,2.97,Pick %,4.05%
12-1,Bard,Support,SUPPORT,A,49.81,2.27,2.97,Ban %,1.00%
12-1,Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,2.44,Win %,51.87%
12-1,Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,2.44,Role %,99.49%
12-1,Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,2.44,Pick %,8.61%
12-1,Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,2.44,Ban %,18.23%
12-1,Brand,Mage,SUPPORT,B,45.21,-4.17,1.77,Win %,49.18%
12-1,Brand,Mage,SUPPORT,B,45.21,-4.17,1.77,Role %,79.04%
12-1,Brand,Mage,SUPPORT,B,45.21,-4.17,1.77,Pick %,4.68%
12-1,Brand,Mage,SUPPORT,B,45.21,-4.17,1.77,Ban %,5.87%
12-1,Brand,Mage,MID,B,41.21,1.44,2.04,Win %,51.68%
12-1,Brand,Mage,MID,B,41.21,1.44,2.04,Role %,12.83%
12-1,Brand,Mage,MID,B,41.21,1.44,2.04,Pick %,0.82%
12-1,Brand,Mage,MID,B,41.21,1.44,2.04,Ban %,6.43%
12-1,Braum,Support,SUPPORT,A,46.74,2.77,2.79,Win %,50.73%
12-1,Braum,Support,SUPPORT,A,46.74,2.77,2.79,Role %,99.40%
12-1,Braum,Support,SUPPORT,A,46.74,2.77,2.79,Pick %,2.87%
12-1,Braum,Support,SUPPORT,A,46.74,2.77,2.79,Ban %,0.39%
12-1,Caitlyn,Marksman,ADC,God,88.48,-0.16,2.31,Win %,50.09%
12-1,Caitlyn,Marksman,ADC,God,88.48,-0.16,2.31,Role %,98.70%
12-1,Caitlyn,Marksman,ADC,God,88.48,-0.16,2.31,Pick %,21.30%
12-1,Caitlyn,Marksman,ADC,God,88.48,-0.16,2.31,Ban %,18.96%
12-1,Camille,Fighter,TOP,God,84.61,9.6,1.99,Win %,50.20%
12-1,Camille,Fighter,TOP,God,84.61,9.6,1.99,Role %,96.80%
12-1,Camille,Fighter,TOP,God,84.61,9.6,1.99,Pick %,7.17%
12-1,Camille,Fighter,TOP,God,84.61,9.6,1.99,Ban %,7.54%
12-1,Cassiopeia,Mage,MID,B,44.08,-2,2.09,Win %,50.30%
12-1,Cassiopeia,Mage,MID,B,44.08,-2,2.09,Role %,71.90%
12-1,Cassiopeia,Mage,MID,B,44.08,-2,2.09,Pick %,2.43%
12-1,Cassiopeia,Mage,MID,B,44.08,-2,2.09,Ban %,1.36%
12-1,Cassiopeia,Mage,TOP,D,26.2,-7.91,1.83,Win %,49.47%
12-1,Cassiopeia,Mage,TOP,D,26.2,-7.91,1.83,Role %,17.98%
12-1,Cassiopeia,Mage,TOP,D,26.2,-7.91,1.83,Pick %,0.68%
12-1,Cassiopeia,Mage,TOP,D,26.2,-7.91,1.83,Ban %,1.36%
12-1,Cho'Gath,Tank,TOP,A,52.76,2.64,2.2,Win %,52.82%
12-1,Cho'Gath,Tank,TOP,A,52.76,2.64,2.2,Role %,72.56%
12-1,Cho'Gath,Tank,TOP,A,52.76,2.64,2.2,Pick %,2.59%
12-1,Cho'Gath,Tank,TOP,A,52.76,2.64,2.2,Ban %,0.95%
12-1,Cho'Gath,Tank,MID,C,37.75,-4.65,2.37,Win %,49.57%
12-1,Cho'Gath,Tank,MID,C,37.75,-4.65,2.37,Role %,17.42%
12-1,Cho'Gath,Tank,MID,C,37.75,-4.65,2.37,Pick %,0.55%
12-1,Cho'Gath,Tank,MID,C,37.75,-4.65,2.37,Ban %,0.95%
12-1,Corki,Marksman,MID,A,58.2,0.29,2.17,Win %,49.38%
12-1,Corki,Marksman,MID,A,58.2,0.29,2.17,Role %,92.76%
12-1,Corki,Marksman,MID,A,58.2,0.29,2.17,Pick %,6.79%
12-1,Corki,Marksman,MID,A,58.2,0.29,2.17,Ban %,3.91%
12-1,Darius,Fighter,TOP,God,83.96,16.49,1.87,Win %,50.37%
12-1,Darius,Fighter,TOP,God,83.96,16.49,1.87,Role %,95.85%
12-1,Darius,Fighter,TOP,God,83.96,16.49,1.87,Pick %,6.58%
12-1,Darius,Fighter,TOP,God,83.96,16.49,1.87,Ban %,15.17%
12-1,Diana,Fighter,JUNGLE,God,82.96,44.71,2.49,Win %,51.46%
12-1,Diana,Fighter,JUNGLE,God,82.96,44.71,2.49,Role %,83.98%
12-1,Diana,Fighter,JUNGLE,God,82.96,44.71,2.49,Pick %,12.19%
12-1,Diana,Fighter,JUNGLE,God,82.96,44.71,2.49,Ban %,12.81%
12-1,Diana,Fighter,MID,A,49.05,4.03,2.2,Win %,52.62%
12-1,Diana,Fighter,MID,A,49.05,4.03,2.2,Role %,15.14%
12-1,Diana,Fighter,MID,A,49.05,4.03,2.2,Pick %,2.17%
12-1,Diana,Fighter,MID,A,49.05,4.03,2.2,Ban %,12.81%
12-1,Dr. Mundo,Marksman,TOP,S,62.73,-2.08,2.26,Win %,51.76%
12-1,Dr. Mundo,Marksman,TOP,S,62.73,-2.08,2.26,Role %,91.81%
12-1,Dr. Mundo,Marksman,TOP,S,62.73,-2.08,2.26,Pick %,4.06%
12-1,Dr. Mundo,Marksman,TOP,S,62.73,-2.08,2.26,Ban %,2.97%
12-1,Draven,Fighter,ADC,B,46.38,-4.53,2.16,Win %,50.52%
12-1,Draven,Fighter,ADC,B,46.38,-4.53,2.16,Role %,95.90%
12-1,Draven,Fighter,ADC,B,46.38,-4.53,2.16,Pick %,6.30%
12-1,Draven,Fighter,ADC,B,46.38,-4.53,2.16,Ban %,12.39%
12-1,Ekko,Assassin,JUNGLE,A,55.93,-1.56,2.74,Win %,49.91%
12-1,Ekko,Assassin,JUNGLE,A,55.93,-1.56,2.74,Role %,64.39%
12-1,Ekko,Assassin,JUNGLE,A,55.93,-1.56,2.74,Pick %,6.16%
12-1,Ekko,Assassin,JUNGLE,A,55.93,-1.56,2.74,Ban %,4.09%
12-1,Ekko,Assassin,MID,A,46.78,0.91,2.24,Win %,49.67%
12-1,Ekko,Assassin,MID,A,46.78,0.91,2.24,Role %,33.37%
12-1,Ekko,Assassin,MID,A,46.78,0.91,2.24,Pick %,3.26%
12-1,Ekko,Assassin,MID,A,46.78,0.91,2.24,Ban %,4.09%
12-1,Elise,Mage,JUNGLE,B,40.59,-3.1,2.56,Win %,49.48%
12-1,Elise,Mage,JUNGLE,B,40.59,-3.1,2.56,Role %,94.98%
12-1,Elise,Mage,JUNGLE,B,40.59,-3.1,2.56,Pick %,2.22%
12-1,Elise,Mage,JUNGLE,B,40.59,-3.1,2.56,Ban %,1.66%
12-1,Evelynn,Assassin,JUNGLE,A,48.04,-1.54,2.94,Win %,49.64%
12-1,Evelynn,Assassin,JUNGLE,A,48.04,-1.54,2.94,Role %,98.86%
12-1,Evelynn,Assassin,JUNGLE,A,48.04,-1.54,2.94,Pick %,3.46%
12-1,Evelynn,Assassin,JUNGLE,A,48.04,-1.54,2.94,Ban %,8.85%
12-1,Ezreal,Marksman,ADC,God,75.98,1.83,2.39,Win %,49.28%
12-1,Ezreal,Marksman,ADC,God,75.98,1.83,2.39,Role %,97.47%
12-1,Ezreal,Marksman,ADC,God,75.98,1.83,2.39,Pick %,20.07%
12-1,Ezreal,Marksman,ADC,God,75.98,1.83,2.39,Ban %,5.20%
12-1,Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,2.68,Win %,50.54%
12-1,Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,2.68,Role %,92.05%
12-1,Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,2.68,Pick %,2.91%
12-1,Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,2.68,Ban %,2.86%
12-1,Fiora,Fighter,TOP,S,75.08,4.32,1.76,Win %,50.05%
12-1,Fiora,Fighter,TOP,S,75.08,4.32,1.76,Role %,97.65%
12-1,Fiora,Fighter,TOP,S,75.08,4.32,1.76,Pick %,6.08%
12-1,Fiora,Fighter,TOP,S,75.08,4.32,1.76,Ban %,10.76%
12-1,Fizz,Assassin,MID,A,52.25,1.44,2.46,Win %,50.83%
12-1,Fizz,Assassin,MID,A,52.25,1.44,2.46,Role %,96.26%
12-1,Fizz,Assassin,MID,A,52.25,1.44,2.46,Pick %,3.83%
12-1,Fizz,Assassin,MID,A,52.25,1.44,2.46,Ban %,4.53%
12-1,Galio,Tank,MID,A,46.86,0.84,2.71,Win %,50.38%
12-1,Galio,Tank,MID,A,46.86,0.84,2.71,Role %,63.28%
12-1,Galio,Tank,MID,A,46.86,0.84,2.71,Pick %,2.28%
12-1,Galio,Tank,MID,A,46.86,0.84,2.71,Ban %,0.54%
12-1,Galio,Tank,SUPPORT,C,36.89,-1.3,2.35,Win %,48.87%
12-1,Galio,Tank,SUPPORT,C,36.89,-1.3,2.35,Role %,33.91%
12-1,Galio,Tank,SUPPORT,C,36.89,-1.3,2.35,Pick %,1.22%
12-1,Galio,Tank,SUPPORT,C,36.89,-1.3,2.35,Ban %,0.54%
12-1,Gangplank,Fighter,TOP,S,65.59,14.31,1.99,Win %,47.66%
12-1,Gangplank,Fighter,TOP,S,65.59,14.31,1.99,Role %,87.34%
12-1,Gangplank,Fighter,TOP,S,65.59,14.31,1.99,Pick %,5.92%
12-1,Gangplank,Fighter,TOP,S,65.59,14.31,1.99,Ban %,4.44%
12-1,Gangplank,Fighter,MID,C,36.57,3.4,2.23,Win %,48.67%
12-1,Gangplank,Fighter,MID,C,36.57,3.4,2.23,Role %,12.95%
12-1,Gangplank,Fighter,MID,C,36.57,3.4,2.23,Pick %,0.90%
12-1,Gangplank,Fighter,MID,C,36.57,3.4,2.23,Ban %,4.41%
12-1,Garen,Fighter,TOP,S,73.99,15.67,2.1,Win %,51.55%
12-1,Garen,Fighter,TOP,S,73.99,15.67,2.1,Role %,87.46%
12-1,Garen,Fighter,TOP,S,73.99,15.67,2.1,Pick %,5.74%
12-1,Garen,Fighter,TOP,S,73.99,15.67,2.1,Ban %,2.13%
12-1,Gnar,Fighter,TOP,A,47.1,4.58,2.01,Win %,49.86%
12-1,Gnar,Fighter,TOP,A,47.1,4.58,2.01,Role %,97.87%
12-1,Gnar,Fighter,TOP,A,47.1,4.58,2.01,Pick %,3.05%
12-1,Gnar,Fighter,TOP,A,47.1,4.58,2.01,Ban %,0.60%
12-1,Gragas,Fighter,TOP,C,37.47,-2.35,2.24,Win %,48.75%
12-1,Gragas,Fighter,TOP,C,37.47,-2.35,2.24,Role %,39.67%
12-1,Gragas,Fighter,TOP,C,37.47,-2.35,2.24,Pick %,1.96%
12-1,Gragas,Fighter,TOP,C,37.47,-2.35,2.24,Ban %,0.32%
12-1,Gragas,Fighter,JUNGLE,C,36.1,-7.55,2.7,Win %,48.00%
12-1,Gragas,Fighter,JUNGLE,C,36.1,-7.55,2.7,Role %,40.60%
12-1,Gragas,Fighter,JUNGLE,C,36.1,-7.55,2.7,Pick %,1.64%
12-1,Gragas,Fighter,JUNGLE,C,36.1,-7.55,2.7,Ban %,0.32%
12-1,Gragas,Fighter,SUPPORT,D,32.15,-2.55,2.25,Win %,47.64%
12-1,Gragas,Fighter,SUPPORT,D,32.15,-2.55,2.25,Role %,11.54%
12-1,Gragas,Fighter,SUPPORT,D,32.15,-2.55,2.25,Pick %,0.49%
12-1,Gragas,Fighter,SUPPORT,D,32.15,-2.55,2.25,Ban %,0.32%
12-1,Graves,Marksman,JUNGLE,S,59.84,-9.95,2.58,Win %,49.28%
12-1,Graves,Marksman,JUNGLE,S,59.84,-9.95,2.58,Role %,67.07%
12-1,Graves,Marksman,JUNGLE,S,59.84,-9.95,2.58,Pick %,7.51%
12-1,Graves,Marksman,JUNGLE,S,59.84,-9.95,2.58,Ban %,9.44%
12-1,Graves,Marksman,TOP,B,42.78,-7.19,1.72,Win %,49.10%
12-1,Graves,Marksman,TOP,B,42.78,-7.19,1.72,Role %,25.53%
12-1,Graves,Marksman,TOP,B,42.78,-7.19,1.72,Pick %,2.75%
12-1,Graves,Marksman,TOP,B,42.78,-7.19,1.72,Ban %,9.44%
12-1,Gwen,Fighter,TOP,A,54.66,13.03,1.73,Win %,49.82%
12-1,Gwen,Fighter,TOP,A,54.66,13.03,1.73,Role %,82.83%
12-1,Gwen,Fighter,TOP,A,54.66,13.03,1.73,Pick %,4.23%
12-1,Gwen,Fighter,TOP,A,54.66,13.03,1.73,Ban %,2.43%
12-1,Gwen,Fighter,JUNGLE,C,38.68,5.74,2.36,Win %,51.35%
12-1,Gwen,Fighter,JUNGLE,C,38.68,5.74,2.36,Role %,13.40%
12-1,Gwen,Fighter,JUNGLE,C,38.68,5.74,2.36,Pick %,0.70%
12-1,Gwen,Fighter,JUNGLE,C,38.68,5.74,2.36,Ban %,2.43%
12-1,Hecarim,Fighter,JUNGLE,S,71.27,12.91,3.02,Win %,51.18%
12-1,Hecarim,Fighter,JUNGLE,S,71.27,12.91,3.02,Role %,99.23%
12-1,Hecarim,Fighter,JUNGLE,S,71.27,12.91,3.02,Pick %,8.94%
12-1,Hecarim,Fighter,JUNGLE,S,71.27,12.91,3.02,Ban %,8.04%
12-1,Heimerdinger,Mage,MID,C,35.89,-1.34,1.96,Win %,49.28%
12-1,Heimerdinger,Mage,MID,C,35.89,-1.34,1.96,Role %,35.85%
12-1,Heimerdinger,Mage,MID,C,35.89,-1.34,1.96,Pick %,0.80%
12-1,Heimerdinger,Mage,MID,C,35.89,-1.34,1.96,Ban %,0.81%
12-1,Heimerdinger,Mage,ADC,C,34.01,-1.93,2.23,Win %,51.76%
12-1,Heimerdinger,Mage,ADC,C,34.01,-1.93,2.23,Role %,15.56%
12-1,Heimerdinger,Mage,ADC,C,34.01,-1.93,2.23,Pick %,0.29%
12-1,Heimerdinger,Mage,ADC,C,34.01,-1.93,2.23,Ban %,0.81%
12-1,Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,1.83,Win %,49.85%
12-1,Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,1.83,Role %,10.09%
12-1,Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,1.83,Pick %,0.20%
12-1,Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,1.83,Ban %,0.92%
12-1,Heimerdinger,Mage,TOP,D,24.16,-8.38,1.65,Win %,48.87%
12-1,Heimerdinger,Mage,TOP,D,24.16,-8.38,1.65,Role %,38.86%
12-1,Heimerdinger,Mage,TOP,D,24.16,-8.38,1.65,Pick %,0.80%
12-1,Heimerdinger,Mage,TOP,D,24.16,-8.38,1.65,Ban %,0.81%
12-1,Illaoi,Fighter,TOP,C,34.11,-3.45,1.49,Win %,49.16%
12-1,Illaoi,Fighter,TOP,C,34.11,-3.45,1.49,Role %,92.36%
12-1,Illaoi,Fighter,TOP,C,34.11,-3.45,1.49,Pick %,2.07%
12-1,Illaoi,Fighter,TOP,C,34.11,-3.45,1.49,Ban %,2.53%
12-1,Irelia,Fighter,TOP,God,81.35,-5.02,1.58,Win %,49.10%
12-1,Irelia,Fighter,TOP,God,81.35,-5.02,1.58,Role %,60.00%
12-1,Irelia,Fighter,TOP,God,81.35,-5.02,1.58,Pick %,6.24%
12-1,Irelia,Fighter,TOP,God,81.35,-5.02,1.58,Ban %,23.51%
12-1,Irelia,Fighter,MID,A,48.07,-1.08,1.75,Win %,48.24%
12-1,Irelia,Fighter,MID,A,48.07,-1.08,1.75,Role %,39.17%
12-1,Irelia,Fighter,MID,A,48.07,-1.08,1.75,Pick %,4.10%
12-1,Irelia,Fighter,MID,A,48.07,-1.08,1.75,Ban %,23.51%
12-1,Ivern,Support,JUNGLE,C,38.83,1.46,3.41,Win %,48.09%
12-1,Ivern,Support,JUNGLE,C,38.83,1.46,3.41,Role %,85.02%
12-1,Ivern,Support,JUNGLE,C,38.83,1.46,3.41,Pick %,1.21%
12-1,Ivern,Support,JUNGLE,C,38.83,1.46,3.41,Ban %,0.34%
12-1,Janna,Support,SUPPORT,A,51.92,-3.82,3,Win %,50.56%
12-1,Janna,Support,SUPPORT,A,51.92,-3.82,3,Role %,95.20%
12-1,Janna,Support,SUPPORT,A,51.92,-3.82,3,Pick %,4.60%
12-1,Janna,Support,SUPPORT,A,51.92,-3.82,3,Ban %,0.57%
12-1,Jarvan IV,Tank,JUNGLE,A,54.92,4.21,3.37,Win %,51.04%
12-1,Jarvan IV,Tank,JUNGLE,A,54.92,4.21,3.37,Role %,93.41%
12-1,Jarvan IV,Tank,JUNGLE,A,54.92,4.21,3.37,Pick %,4.22%
12-1,Jarvan IV,Tank,JUNGLE,A,54.92,4.21,3.37,Ban %,0.54%
12-1,Jax,Fighter,TOP,God,82.16,3.63,1.63,Win %,50.68%
12-1,Jax,Fighter,TOP,God,82.16,3.63,1.63,Role %,85.79%
12-1,Jax,Fighter,TOP,God,82.16,3.63,1.63,Pick %,6.84%
12-1,Jax,Fighter,TOP,God,82.16,3.63,1.63,Ban %,10.98%
12-1,Jax,Fighter,JUNGLE,C,34.7,-5.49,2.13,Win %,49.40%
12-1,Jax,Fighter,JUNGLE,C,34.7,-5.49,2.13,Role %,13.26%
12-1,Jax,Fighter,JUNGLE,C,34.7,-5.49,2.13,Pick %,1.11%
12-1,Jax,Fighter,JUNGLE,C,34.7,-5.49,2.13,Ban %,10.39%
12-1,Jayce,Fighter,TOP,S,73.56,-5.02,1.78,Win %,49.44%
12-1,Jayce,Fighter,TOP,S,73.56,-5.02,1.78,Role %,74.77%
12-1,Jayce,Fighter,TOP,S,73.56,-5.02,1.78,Pick %,6.54%
12-1,Jayce,Fighter,TOP,S,73.56,-5.02,1.78,Ban %,4.13%
12-1,Jayce,Fighter,MID,B,39.29,-2.3,2.05,Win %,48.62%
12-1,Jayce,Fighter,MID,B,39.29,-2.3,2.05,Role %,24.13%
12-1,Jayce,Fighter,MID,B,39.29,-2.3,2.05,Pick %,1.97%
12-1,Jayce,Fighter,MID,B,39.29,-2.3,2.05,Ban %,4.13%
12-1,Jhin,Marksman,ADC,God,94.23,3.23,3.01,Win %,51.03%
12-1,Jhin,Marksman,ADC,God,94.23,3.23,3.01,Role %,99.02%
12-1,Jhin,Marksman,ADC,God,94.23,3.23,3.01,Pick %,24.55%
12-1,Jhin,Marksman,ADC,God,94.23,3.23,3.01,Ban %,5.81%
12-1,Jinx,Marksman,ADC,God,86.76,-1.22,2.43,Win %,51.32%
12-1,Jinx,Marksman,ADC,God,86.76,-1.22,2.43,Role %,99.51%
12-1,Jinx,Marksman,ADC,God,86.76,-1.22,2.43,Pick %,22.27%
12-1,Jinx,Marksman,ADC,God,86.76,-1.22,2.43,Ban %,6.98%
12-1,Kai'Sa,Marksman,ADC,God,75.52,10.5,2.42,Win %,49.48%
12-1,Kai'Sa,Marksman,ADC,God,75.52,10.5,2.42,Role %,97.77%
12-1,Kai'Sa,Marksman,ADC,God,75.52,10.5,2.42,Pick %,19.45%
12-1,Kai'Sa,Marksman,ADC,God,75.52,10.5,2.42,Ban %,5.95%
12-1,Kalista,Marksman,ADC,D,31.51,-0.06,2.3,Win %,49.03%
12-1,Kalista,Marksman,ADC,D,31.51,-0.06,2.3,Role %,91.41%
12-1,Kalista,Marksman,ADC,D,31.51,-0.06,2.3,Pick %,1.53%
12-1,Kalista,Marksman,ADC,D,31.51,-0.06,2.3,Ban %,0.27%
12-1,Karma,Mage,SUPPORT,S,63.43,6.96,2.73,Win %,48.91%
12-1,Karma,Mage,SUPPORT,S,63.43,6.96,2.73,Role %,92.05%
12-1,Karma,Mage,SUPPORT,S,63.43,6.96,2.73,Pick %,10.22%
12-1,Karma,Mage,SUPPORT,S,63.43,6.96,2.73,Ban %,2.96%
12-1,Karthus,Mage,ADC,B,42.26,-1.65,2.23,Win %,54.98%
12-1,Karthus,Mage,ADC,B,42.26,-1.65,2.23,Role %,21.05%
12-1,Karthus,Mage,ADC,B,42.26,-1.65,2.23,Pick %,0.95%
12-1,Karthus,Mage,ADC,B,42.26,-1.65,2.23,Ban %,3.30%
12-1,Karthus,Mage,MID,B,42.13,3.77,2.19,Win %,52.58%
12-1,Karthus,Mage,MID,B,42.13,3.77,2.19,Role %,11.76%
12-1,Karthus,Mage,MID,B,42.13,3.77,2.19,Pick %,0.41%
12-1,Karthus,Mage,MID,B,42.13,3.77,2.19,Ban %,3.30%
12-1,Karthus,Mage,JUNGLE,B,39.58,0.6,2.45,Win %,49.39%
12-1,Karthus,Mage,JUNGLE,B,39.58,0.6,2.45,Role %,57.80%
12-1,Karthus,Mage,JUNGLE,B,39.58,0.6,2.45,Pick %,2.09%
12-1,Karthus,Mage,JUNGLE,B,39.58,0.6,2.45,Ban %,3.30%
12-1,Kassadin,Assassin,MID,A,58.16,-7.74,2.49,Win %,51.42%
12-1,Kassadin,Assassin,MID,A,58.16,-7.74,2.49,Role %,97.04%
12-1,Kassadin,Assassin,MID,A,58.16,-7.74,2.49,Pick %,4.54%
12-1,Kassadin,Assassin,MID,A,58.16,-7.74,2.49,Ban %,14.43%
12-1,Katarina,Assassin,MID,S,61.99,-0.88,2.29,Win %,49.59%
12-1,Katarina,Assassin,MID,S,61.99,-0.88,2.29,Role %,94.72%
12-1,Katarina,Assassin,MID,S,61.99,-0.88,2.29,Pick %,7.12%
12-1,Katarina,Assassin,MID,S,61.99,-0.88,2.29,Ban %,9.89%
12-1,Kayle,Fighter,TOP,A,48.25,-5.26,1.8,Win %,50.71%
12-1,Kayle,Fighter,TOP,A,48.25,-5.26,1.8,Role %,72.51%
12-1,Kayle,Fighter,TOP,A,48.25,-5.26,1.8,Pick %,3.11%
12-1,Kayle,Fighter,TOP,A,48.25,-5.26,1.8,Ban %,1.19%
12-1,Kayle,Fighter,MID,B,40.73,-8.21,2.28,Win %,50.63%
12-1,Kayle,Fighter,MID,B,40.73,-8.21,2.28,Role %,25.67%
12-1,Kayle,Fighter,MID,B,40.73,-8.21,2.28,Pick %,0.97%
12-1,Kayle,Fighter,MID,B,40.73,-8.21,2.28,Ban %,1.19%
12-1,Kayn,Fighter,JUNGLE,S,69.12,1.38,2.41,Win %,49.95%
12-1,Kayn,Fighter,JUNGLE,S,69.12,1.38,2.41,Role %,97.80%
12-1,Kayn,Fighter,JUNGLE,S,69.12,1.38,2.41,Pick %,9.70%
